Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;35.122,26;35.290,91;35.519,79;35.574,33;35.851,62;36.036,37;36.090,68;36.046,72;36.134,97;36.198,73;36.396,26;36.568,74
2;35.133,53;35.294,32;35.529,90;35.573,19;35.864,70;36.039,85;36.091,89;36.044,39;36.139,62;36.199,94;36.404,45;36.573,60
3;35.144,81;35.297,73;35.540,01;35.572,04;35.877,78;36.043,34;36.093,09;36.042,06;36.144,27;36.201,14;36.412,64;36.578,47
4;35.156,09;35.301,14;35.550,13;35.570,89;35.890,87;36.046,82;36.094,29;36.039,73;36.148,93;36.202,35;36.420,84;36.583,34
5;35.167,38;35.304,55;35.560,24;35.569,74;35.903,96;36.050,30;36.095,49;36.037,41;36.153,58;36.203,56;36.429,03;36.588,21
6;35.178,67;35.307,96;35.570,37;35.568,59;35.917,05;36.053,79;36.096,70;36.035,08;36.158,24;36.204,76;36.437,23;36.593,08
7;35.189,96;35.311,37;35.580,49;35.567,44;35.930,15;36.057,27;36.097,90;36.032,75;36.162,90;36.205,97;36.445,43;36.597,95
8;35.201,26;35.314,79;35.590,62;35.566,30;35.943,26;36.060,75;36.099,10;36.030,43;36.167,55;36.207,18;36.453,63;36.602,82
9;35.212,56;35.318,20;35.600,75;35.565,15;35.956,37;36.064,24;36.100,30;36.028,10;36.172,21;36.208,38;36.461,84;36.607,69
10;35.215,96;35.328,25;35.599,60;35.578,12;35.959,84;36.065,44;36.097,97;36.032,74;36.173,42;36.216,53;36.466,69;36.615,93
11;35.219,37;35.338,31;35.598,45;35.591,10;35.963,32;36.066,64;36.095,64;36.037,38;36.174,62;36.224,68;36.471,55;36.624,17
12;35.222,77;35.348,37;35.597,30;35.604,08;35.966,79;36.067,84;36.093,31;36.042,02;36.175,83;36.232,83;36.476,40;36.632,41
13;35.226,17;35.358,43;35.596,15;35.617,07;35.970,27;36.069,05;36.090,98;36.046,66;36.177,03;36.240,99;36.481,25;36.640,65
14;35.229,58;35.368,49;35.595,01;35.630,06;35.973,75;36.070,25;36.088,64;36.051,31;36.178,24;36.249,14;36.486,11;36.648,90
15;35.232,98;35.378,56;35.593,86;35.643,05;35.977,22;36.071,45;36.086,31;36.055,95;36.179,44;36.257,30;36.490,96;36.657,15
16;35.236,39;35.388,63;35.592,71;35.656,05;35.980,70;36.072,65;36.083,98;36.060,59;36.180,65;36.265,46;36.495,82;36.665,40
17;35.239,79;35.398,70;35.591,56;35.669,06;35.984,18;36.073,85;36.081,65;36.065,24;36.181,85;36.273,62;36.500,68;36.673,65
18;35.243,20;35.408,77;35.590,41;35.682,07;35.987,65;36.075,06;36.079,32;36.069,88;36.183,06;36.281,78;36.505,53;36.681,90
19;35.246,60;35.418,85;35.589,26;35.695,08;35.991,13;36.076,26;36.076,99;36.074,53;36.184,26;36.289,95;36.510,39;36.690,16
20;35.250,01;35.428,93;35.588,11;35.708,10;35.994,61;36.077,46;36.074,66;36.079,17;36.185,47;36.298,11;36.515,25;36.698,41
21;35.253,41;35.439,02;35.586,96;35.721,12;35.998,09;36.078,66;36.072,33;36.083,82;36.186,67;36.306,28;36.520,11;36.706,67
22;35.256,82;35.449,10;35.585,82;35.734,15;36.001,57;36.079,86;36.070,00;36.088,46;36.187,88;36.314,45;36.524,97;36.714,93
23;35.260,23;35.459,19;35.584,67;35.747,19;36.005,05;36.081,07;36.067,68;36.093,11;36.189,09;36.322,63;36.529,83;36.723,20
24;35.263,64;35.469,28;35.583,52;35.760,22;36.008,52;36.082,27;36.065,35;36.097,76;36.190,29;36.330,80;36.534,69;36.731,46
25;35.267,04;35.479,38;35.582,37;35.773,27;36.012,00;36.083,47;36.063,02;36.102,41;36.191,50;36.338,98;36.539,55;36.739,73
26;35.270,45;35.489,48;35.581,22;35.786,31;36.015,48;36.084,67;36.060,69;36.107,06;36.192,70;36.347,15;36.544,42;36.747,99
27;35.273,86;35.499,58;35.580,07;35.799,37;36.018,96;36.085,87;36.058,36;36.111,71;36.193,91;36.355,33;36.549,28;36.756,26
28;35.277,27;35.509,68;35.578,93;35.812,42;36.022,44;36.087,08;36.056,03;36.116,36;36.195,11;36.363,52;36.554,14;36.764,54
29;35.280,68;;35.577,78;35.825,49;36.025,93;36.088,28;36.053,70;36.121,01;36.196,32;36.371,70;36.559,01;36.772,81
30;35.284,09;;35.576,63;35.838,55;36.029,41;36.089,48;36.051,37;36.125,66;36.197,53;36.379,88;36.563,87;36.781,09
31;35.287,50;;35.575,48;;36.032,89;;36.049,05;36.130,31;;36.388,07;;36.789,36
